"id","name","entityType","address","city","province","lat","lng","phone","website","officialWebsiteFound","websiteStatus","fnoviRegistrySource","alboMatchStatus","googlePlaceId","googleBusinessStatus","externalReputationSignal","activityStatus","activityConfidence","sourceUrls","evidenceNotes","recommendedProfileStatus","needsManualReview","internalNotes"
"dir_2da908943db83d4b","Ambulatorio Veterinario Vaccaro Lucia","clinic","Vicolo Trieste, 1","Albignasego","PD","45.34738","11.86836","049712751","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","uncertain","50","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-vaccaro-lucia/|https://aziende.virgilio.it/veterinaria/albignasego-pd/vaccaro-lucia_6|https://locale.infobel.it/IT102541416-049712751/ambulatorio_veterinario_vaccaro_lucia-albignasego.html","Directory sources identify structure but address conflict found: Vicolo Trieste 1 vs Largo degli Obizzi 10 on another directory. Official site listed but not independently confirmed live.","needs_review","true","batch1_researched; conflicting address requires manual review before publication; batch2_researched"
"dir_5e6d747ca0039361","Ambulatorio Veterinario Dr Tavarone","clinic","Via Antonio Genovesi, 4","Torino","TO","45.05413","7.66957","0114273564","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","uncertain","likely_active","80","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-dr-tavarone/|https://www.tuovet.it/scheda/ambulatorio-veterinario-dr-tavarone/|https://www.veterinari.link/ambulatorio-veterinario-dr-tavarone-torino-to_15.html","Directory sources match name, Torino, address and phone; no official website confidently identified.","published_unclaimed","false","batch1_researched; directory-only contact data; batch2_researched; dati essenziali confermati da fonti alternative"
"dir_87adf2217dd32a78","Centro Veterinario Alessandrino","clinic","Via Giovanni Amendola, 1","Alessandria","AL","44.90717","8.62058","0131252847","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","uncertain","uncertain","50","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/centro-veterinario-alessandrino/|https://www.tuttiaffari.com/centro-veterinario-alessandrino-0131-252847|https://firmania.it/alessandria/centro-veterinario-alessandrino-2319510","Directory sources match name and address but phone conflict appears across directories; no official website confidently identified.","needs_review","true","batch1_researched; phone conflict; verify before publishing; batch2_researched"
"dir_9a7ba408ab71b5c0","Ambulatorio Veterinario Benaco","clinic","Via San Bernardino, 29","Salò","BS","45.60609","10.52115","036542728","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","likely_active","80","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-benaco/|https://www.tuovet.it/scheda/ambulatorio-veterinario-benaco/","Directories match name, city, address and phone; official website is listed by directory but not independently confirmed live.","published_unclaimed","false","batch1_researched; confirm official website before auto-publication; batch2_researched; dati essenziali confermati da fonti alternative"
"dir_7106b3d60521df7d","Ambulatorio Veterinario Associato Alfieri Dr. Sacchi, Marini, Cappello","clinic","Via Padana Inferiore, 27","Chieri","TO","45.00404","7.83969","0119427256","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","likely_active","80","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-associato-alfieri-dr-i-sacchi-marini-cappello/|https://www.tuovet.it/scheda/ambulatorio-veterinario-associato-alfieri-dr-i-sacchi-marini-cappello/|https://www.veterinari.link/ambulatorio-veterinario-associato-alfieri-dr-i-sacchi-marini-cappello-chieri-to_18.html","Directories match name, Chieri, address and phone; website listed by directory but not independently confirmed live.","published_unclaimed","false","batch1_researched; confirm official website before auto-publication; batch2_researched; dati essenziali confermati da fonti alternative"
"dir_ee82d54e5cf64674","Ambulatorio Veterinario Dott. Andrea Fontana","clinic","Via Bianco di Barbania, 30","Caselle Torinese","TO","45.17771","7.64904","0119913666","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","uncertain","likely_active","80","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-dott-andrea-fontana/|https://www.tuovet.it/scheda/ambulatorio-veterinario-dott-andrea-fontana/|https://locale.infobel.it/IT102060060-0119913666/ambulatorio_veterinario_dott_andrea_fontana-caselle_torinese.html","Directories match name, city, address and phone; third-party review signal exists but no official website confidently identified.","published_unclaimed","false","batch1_researched; directory-only; reputation signal recency uncertain; batch2_researched; dati essenziali confermati da fonti alternative"
"dir_fc6d3f0ace8113fc","Centro Veterinario Nuorese","clinic","Via Catte, 15","Nuoro","NU","40.31801","9.32982","3497884053","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","old_reviews_only","presumed_active","70","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/centro-veterinario-nuorese/|https://firmania.it/nuoro/centro-veterinario-nuorese-2696615|https://italiarecensioni.com/sardinia/centro-veterinario-nuorese-555006","Directories match name, Nuoro, address and phone; official website listed but not independently confirmed live. Review portal signal appears old.","needs_review","true","batch1_researched; review text not copied; confirm website and address before publishing; batch2_researched"
"dir_d71a07ac8bb51a2f","Ambulatorio Veterinario Dr Fruzzetti Roberto","clinic","Via Ronchi, 48","Massa","MS","43.99883","10.11992","0585241055","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","uncertain","likely_active","80","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-dr-fruzzetti/|https://www.tuttiaffari.com/ambulatorio-veterinario-dr-fruzzetti-0585-241055|https://animalisos.it/professionisti/ambulatorio-veterinario-dr-fruzzetti-roberto-massa","Directories match name, Massa, address and phone; no official website confidently identified.","published_unclaimed","false","batch1_researched; directory-only contact data; batch2_researched; dati essenziali confermati da fonti alternative"
"dir_3d8a9868dbce7cec","Centro Veterinario Ostia","clinic","Via Costanzo Casana, 47","Roma / Ostia","RM","41.73938","12.27331","065693742","https://www.centroveterinariostia.eu/","true","live","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","old_reviews_only","likely_active","90","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.centroveterinariostia.eu/|https://www.caniincasa.it/veterinari/centro-veterinario-ostia/|https://italiarecensioni.com/lazio/centro-veterinario-ostia-169674","Official website live; public sources match name, Roma/Ostia, address and phone. Review portal signal exists but appears old.","published_unclaimed","false","batch1_researched; high potential in Roma target area; no claim/owner verification; batch2_researched"
"dir_223a33024523625e","BiEsseA / Antech Diagnostic Italy Laboratorio Analisi Veterinarie","clinic","Via Amedeo D'Aosta, 7","Milano","MI","45.47483","9.21800","0363360656","https://www.biessea.com/","true","live","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","old_reviews_only","likely_closed","20","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.biessea.com/|https://www.caniincasa.it/veterinari/biessea-srl-soc-unipersonale/|https://guida-delle-societa.cybo.com/IT-biz/biessea-srl-laboratorio-analisi","Official site live but states Milan site no longer operational from Feb 2026 and operations transferred to Treviglio; seed location appears obsolete. Treat as likely closed at seed address, not as inactive company.","hidden","true","batch1_researched; old Milano location should not be published; verify new Treviglio registry separately; batch2_researched"
"dir_924696f3ae124dc8","Ambulatorio Veterinario De Biasio Dr. Roberto","clinic","Via Legione Antonini, 141","Vicenza","VI","45.54814","11.52640","0444964346","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","uncertain","likely_active","80","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-de-biasio-dr-roberto/|https://www.tuovet.it/scheda/ambulatorio-veterinario-de-biasio-dr-roberto/|https://firmania.it/vicenza/ambulatorio-veterinario-dr-roberto-de-biasio-3656483","Directories match name, Vicenza, address and phone; no official website confidently identified.","published_unclaimed","false","batch1_researched; directory-only contact data; batch2_researched; dati essenziali confermati da fonti alternative"
"dir_7135b77cd3eb1587","Ambulatorio Veterinario Gli Amici del Cuore","clinic","Via Nastro Azzurro, 10","Massa Lubrense","NA","40.60677","14.37439","0818080119","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","uncertain","uncertain","50","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-gli-amici-del-cuore/|https://aziende.virgilio.it/veterinaria/massa-lubrense-na/apuzzo-antonio|https://www.reteimprese.it/veterinaria-ambulatori-laboratori/sorrento/azienda/344278","Caniincasa/Virgilio support Massa Lubrense address; other directory found a Sorrento address with similar name, so do not merge automatically.","needs_review","true","batch1_researched; conflicting possible branch/address; manual review required; batch2_researched"
"dir_47fcca19d700184c","Ambulatorio Dr. E. Minetti","clinic","","","","45.49137","9.15324","","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","uncertain","35","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","No coherent public match for corrupted/ambiguous seed name Ambulatorio Dr E. Minetti near given coordinate. Do not merge with BiEsseA without manual evidence.","needs_review","true","batch1_researched; likely OCR/name corruption; requires manual reverse-geocode; batch2_researched; nome corretto da evidenza batch"
"dir_9732721678ef8389","Ambulatorio Veterinario Dott. Enrica Sivieri","clinic","Via Galileo Galilei, 27","Carnate","MB","45.64603","9.37376","039674501","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","likely_active","80","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-dott-enrica-sivieri/|https://www.tuovet.it/scheda/ambulatorio-veterinario-dott-enrica-sivieri/|https://aziende.virgilio.it/veterinaria/carnate-mb/ambulatorioveterinariodottenricasivieri-carnate","Directories match name, Carnate, address and phone; no official website confidently identified.","published_unclaimed","false","batch1_researched; directory-only contact data; batch2_researched; dati essenziali confermati da fonti alternative"
"dir_843a11b5378b795f","Ambulatorio Veterinario Funo del Dr. Stefano Ferioli","clinic","Via Santa Marta, 2","Bentivoglio","BO","44.59544","11.37016","051864777","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","uncertain","likely_active","80","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-funo/|https://www.cylex-italia.it/bentivoglio/ambulatorio-veterinario-funo-del-dr-stefano-ferioli-7257897.html|https://firmania.it/bentivoglio/ambulatorio-veterinario-funo-del-drstefano-ferioli-3414587","Directories match name, Bentivoglio/Funo area, address and phone; no official website confidently identified.","published_unclaimed","false","batch1_researched; phone differs between landline/mobile in directories; verify before publishing; batch2_researched; dati essenziali confermati da fonti alternative"
"dir_eb2e9063b68722af","Ambulatorio Veterinario San Giorgio In Bosco Dr Simone Agostini","clinic","Via Paolo Borsellino, 38","San Giorgio in Bosco","PD","45.58789","11.81238","0499450520","https://www.veterinariosangiorgioinbosco.it/","true","live","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","likely_active","90","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.veterinariosangiorgioinbosco.it/|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-san-giorgio-in-bosco-dr-simone-agostini/|https://www.tuovet.it/scheda/ambulatorio-veterinario-san-giorgio-in-bosco-dr-simone-agostini/","Official website live; official source names Simone Agostini and phone; directory sources match structure and address.","published_unclaimed","false","batch1_researched; high potential; no claim/owner verification; batch2_researched"
"dir_b8abd5bc7e889767","Ambulatorio Veterinario Libia","clinic","Via della Concordia, 4/C","Bologna","BO","44.50142","11.36482","0515876227","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","uncertain","likely_active","80","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-libia/|https://firmania.it/bologna/ambulatorio-veterinario-libia-3071836|https://www.reteimprese.it/veterinaria-ambulatori-laboratori/bologna/azienda/614017","Directory sources match name, Bologna, address and phone; no official website confidently identified.","published_unclaimed","false","batch1_researched; directory-only contact data; batch2_researched; dati essenziali confermati da fonti alternative"
"dir_253bc7336406d889","Ambulatorio Veterinario Dott.ssa Ilaria Argentini","clinic","Via Brigata Campobasso, 4/C","Gorizia","GO","45.93537","13.59059","3284624634","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","uncertain","40","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-dott-argentini-ilaria/|https://www.reteimprese.it/veterinaria-ambulatori-laboratori/gorizia/azienda/3473527|https://firmania.it/gorizia/ambulatorio-veterinario-dott-ilaria-argentini-2532330","Matching public sources found but address/phone are inconsistent across sources: 4/C vs 5 and phone formatting/prefix conflict. Manual review required.","needs_review","true","batch1_researched; contradictory public data; do not publish automatically; batch2_researched"
"dir_86c42551c3dde94e","Ambulatorio Veterinario Dr.ssa Paola Lenatti","clinic","Via V. Alpini, 44","Chiesa in Valmalenco","SO","46.26794","9.84790","3473121651","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","uncertain","likely_active","80","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-dr-ssa-paola-lenatti/|https://firmania.it/chiesa-in-valmalenco/ambulatorio-veterinario-drssa-paola-lenatti-2528809|https://italiarecensioni.com/lombardy/ambulatorio-veterinario-drssa-paola-lenatti-1271688","Directories match name, city, address and phone; no official website confidently identified. Third-party reputation signal exists but recency is uncertain.","published_unclaimed","false","batch1_researched; directory-only contact data; batch2_researched; dati essenziali confermati da fonti alternative"
"dir_5bfa23589bf1a6ff","Clinica Veterinaria Serenissima","clinic","Via Borgo Lacchin, 1/A","Sacile","PN","45.95020","12.48425","0434783070","https://www.clinicaveterinariaserenissima.it/","true","live","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","likely_active","90","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.clinicaveterinariaserenissima.it/|https://www.clinicaveterinariaserenissima.it/contattaci|https://www.vetpartnersitalia.it/strutture/clinica-veterinaria-serenissima/","Official website live; official/public sources match name, Sacile, address and phone; H24/pronto soccorso signal present.","published_unclaimed","false","batch1_researched; high potential; no claim/owner verification; batch2_researched"
"dir_64faaab78b64fa84","Ambulatorio Veterinario Dr. Davide Mariani","clinic","","","","45.43554","9.18087","","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","uncertain","35","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","No coherent public match for corrupted/ambiguous seed name Ambulatorio Veterinario Dr. Davide Mariani near the coordinates using targeted search.","needs_review","true","batch1_researched; likely OCR/name corruption; requires manual reverse-geocode; batch2_researched; nome corretto da evidenza batch"
"dir_023708e7c9ca571e","Ambulatorio Veterinario Dott. Crociero","clinic","","","","41.48736","13.83022","","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","uncertain","35","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","No coherent public match for corrupted/ambiguous seed name Ambulatorio Veterinario Dott. Crociero near the coordinates. Search returned unrelated Roma result; not merged.","needs_review","true","batch1_researched; likely OCR/name corruption; requires manual reverse-geocode; batch2_researched; nome corretto da evidenza batch"
"dir_75258b21563daf6a","Ambulatorio Veterinario Dr. Roberto Moretti","clinic","Via Montefalco, 28","Perugia / Ripa","PG","43.12913","12.51270","075602280","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","uncertain","presumed_active","60","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-dr-roberto-moretti/|https://firmania.it/perugia/ambulatorio-veterinario-drroberto-moretti-4893531|https://aziende.virgilio.it/veterinaria/ripa-pg/moretti-dr-roberto|https://www.findglocal.com/IT/Perugia/131496760294412/Ambulatorio-Veterinario-Dr.Roberto-Moretti","Multiple sources identify Dr. Roberto Moretti in Ripa/Perugia but address conflicts appear across sources: Via Montefalco 28/34 and Via Gualdese 11/L. Manual review required.","needs_review","true","batch1_researched; conflicting addresses; do not publish automatically; batch2_researched"
"dir_58f95a53cdbbc758","Ambulatorio Veterinario","clinic","","","","39.29133","16.22148","","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","uncertain","35","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","Generic seed label Ambulatorio Veterinario and no reliable web match without city/address; too ambiguous to merge.","needs_review","true","batch1_researched; generic label; requires manual reverse-geocode and source check; batch2_researched"
"dir_5fee663eaf6c05be","Ambulatorio Veterinario S. Giacomo","clinic","Via Risorgimento, 42/B","Albignasego","PD","45.33929","11.90295","3929059809","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","likely_active","80","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-s-giacomo/|https://www.tuovet.it/scheda/ambulatorio-veterinario-s-giacomo/|https://aziende.virgilio.it/san-giacomo-pd/ambulatorio-veterinario-s-giacomo-dr-sse-tomiazzo","Directory sources match name, Albignasego and address; website listed by directory but not independently confirmed live. Phone appears as mobile/landline formatting in sources.","published_unclaimed","false","batch1_researched; confirm website and phone before auto-publication; batch2_researched; dati essenziali confermati da fonti alternative"
